Efra.gene20233_i0_length744.p1	29235.694		23850.025	63025.82999999998	48531.01	7690.2984	15136.2112	12983.777	63086.049999999996	19335.02	50782.38599999999	67654.74319999998	46564.906	56236.369999999995	148175.79599999997	-9.0	21368.988999999998	15832.233	56786.463	26652.706000000002
Efra.gene20528_i0_length735.p1														2417.7592						
Efra.gene21131_i1_length711.p1	16571.735	54955.9357	4467.6837000000005	21353.929	137078.62900000002	20665.8614	60063.256400000006	48239.82889999999	122568.61640000003	55927.31869999999	74975.3517	139113.46900000004	80837.5395	147177.89939999997	102558.01399999998	-18.0	49090.2796	66799.02500000001	110953.416	53517.419
Efra.gene21137_i1_length711.p1				7271.879000000001		17228.5469					3180.017	5114.7964	10963.789	19301.534	133045.254	-3.0	9583.433099999998		9808.554	
Efra.gene21360_i0_length705.p1									7006.57											
Efra.gene21462_i0_length701.p1					6900.457				31759.8698				13130.935000000001	42694.259	14160.206999999999	-5.0				
Efra.gene22028_i0_length681.p1											9818.429	4084.8147	5209.956						5243.735000000001	
Efra.gene22143_i0_length678.p1												15955.9205								
Efra.gene22225_i1_length309.p1					9887.586		10010.225									-2.0				
Efra.gene22328_i1_length673.p1				2314.189	5986.553	3244.0067	28228.210000000003	18720.11	79016.73999999999	7827.401	27774.059	35642.03	15786.717	25056.531000000003	74501.763	-8.0	12720.212	33093.88	29428.747999999996	23040.165
Efra.gene22719_i0_length660.p1														15031.052	48042.648					
Efra.gene23221_i0_length645.p1							10558.86					12364.934	10427.546999999999	15672.845000000001	28052.232				10558.476	
Efra.gene23450_i0_length639.p1			5064.989																	
Efra.gene24170_i0_length618.p1							25400.564		68425.939			42895.358		16994.994	23524.327			12197.742		
Efra.gene24458_i0_length609.p1	54521.867000000006	29072.584000000003	16678.4252	90093.62490000001	178807.50550000003	68098.2965	165370.2336	147514.97529999996	396746.01060000004	159251.22780000002	292914.9147	424823.516	243451.589	437499.24460000003	369722.0155000001	-45.0	153037.2179	150884.53120000003	316147.7249999999	183849.76900000003
Efra.gene25400_i0_length486.p1	1380.594	1197.53		4315.559	5296.343	9526.803	5305.294	7024.648999999999	26337.007999999998	8015.177	36296.179000000004	15695.616999999998	11688.421	21301.510000000002	16896.802	-3.0	11868.473	2034.797	5364.869000000001	5529.728999999999
Efra.gene25400_i1_length585.p1							2563.5	9497.84				11893.193	7907.656			-2.0	6367.65		5147.214	1697.779
Efra.gene25630_i0_length579.p1														3382.635						
Efra.gene25717_i1_length576.p1							12606.111		7074.579000000001		3531.893		5783.1726	4317.384		-3.0				
Efra.gene25799_i1_length576.p1				17340.713	19060.853	4328.936	2403.814	2537.183	7187.002	4222.443	3640.214	5420.737	4520.456	21322.018	10175.994999999999		2206.734	4129.089	2827.797	1575.465
Efra.gene25800_i0_length528.p1						10035.546	37198.583		5232.18	28561.828999999998	22797.234	9313.854000000001	35012.592	6368.885	40832.311		47249.153999999995	32995.115	29177.938000000002	5954.213
Efra.gene25963_i0_length570.p1												15955.9205		8892.7563	16718.76					10756.072
Efra.gene25967_i0_length570.p1				7375.0380000000005	22101.112	5966.295899999999			9749.189		5742.9169999999995	13096.070000000002	8455.962	14765.329	34230.953	-2.0	3721.499		2869.216	
Efra.gene26093_i0_length567.p1									8094.324					2547.648	14828.303000000002	-1.0			11274.069	
Efra.gene26194_i2_length522.p1												5883.816000000001								
Efra.gene26218_i1_length564.p1															697.1464					
Efra.gene26421_i0_length561.p1				5962.951	19518.319	3317.3578	67431.9707	20001.612	81562.342	11585.632	55035.12600000001	41218.959	41096.7841	66026.091	155669.15200000003	-11.0	14639.752	17147.406	68421.18199999999	31879.961000000007
Efra.gene26700_i0_length552.p1														24350.54	3278.36		4575.8775			
Efra.gene26710_i0_length552.p1	19234.882	6334.4238	4709.9038	12555.874000000002	26472.0377	9615.69	17721.113	15762.537	33534.701	23843.864	21662.8034	31096.544	30650.424999999996	47976.878000000004	31887.433	-7.0	27340.935699999998	26682.713000000003	33870.286	19828.45
Efra.gene26810_i2_length552.p1				54097.723	38416.229999999996		90870.59000000001	62859.663	96873.86	20386.123	31831.033	72239.133	36924.705	41623.045	49833.681	-4.0	36825.179	57331.488	32680.746	57809.816
Efra.gene26841_i0_length549.p1					11495.396															
